Item Name,Sale Price,Discount,Free Shipping,Total reviews
"Medical Emergency Contact Bracelet, Custom Medical Alert Bracelet, Custom Id Bracelet, Medical Emergency Bracelet, Unisex Medical ID",15.99,No discount,X,1900.0
14K Solid Gold Diamond Slave Bracelet / Solid Gold Chain Gold Ring Bracelet / Hand Ring Gold Handlet Bracelet / Two Sided Diamond Bracelet,200.40,(25% off),O,5900.0
"Gold Mama Mini Bracelet Set, Gold Mom Daughter Bracelet Set, Matching Mother Daughter Bracelets, Matching Bracelets, Christmas Gift for Mom",11.00,No discount,X,3900.0
Initial Bracelet - Letter Bracelet - Couples Bracelet - Custom Letter Bracelet - 925K Sterling Silver Initial Bracelet - Bridesmaid Gift,20.92,(25% off),O,3200.0
"Personalized Word Bracelet - Pink Custom Beaded Bracelet, Custom Word Bracelet, Stacking Bracelets, Custom Name Bracelet, Gold, Silver",10.95,No discount,X,2000.0
custom birthstone 14k gold bracelets | birthstone jewelry | birthstone bracelets | new mom gift | custom bracelet | gemstone bracelet,14.00,No discount,X,3500.0
925 sterling silver bracelets 9 styles | Dainty minimalist chains bracelets | Snake Box cable figure rope Ball beaded paperclip chain,18.97,No discount,X,5900.0
Personalized Medical Bracelet | Medical Alert Bracelet | Medical ID Diabetic Bracelet | Custom Medical Allergy Bracelet||Mother Day Gift,62.39,(20% off),X,4100.0
"Initial Bracelet Men, Black Bead Initial Bracelet, Customized Couple Bracelet, Gift for Him, Groomsmen Gifts, Birthday Gift, Custom Gift",19.90,(30% off),O,5600.0
"Paw Print Name Bracelet, Personalized Elegant Dog Paw Bracelet, Minimalist Paw Bracelet, Name Bracelet, Pet Bracelet, Christmas Gift",18.50,(50% off),O,11300.0
"Bridesmaid Proposal Box, Bridesmaid Gift, Bridal Party Proposal, Bridesmaid Bracelet,  I Can't Tie The Knot Without You",3.99,(50% off),O,14000.0
"Extra Small Letter Bracelet, Side Letter Bracelet, Mother Bracelet, Personalized Letter Bracelet, Christmas Gift",28.80,(40% off),O,11100.0
mixed metal bracelet | gold and silver bracelet | beaded bracelet | minimalist bracelet | gold bead bracelet | silver bead bracelet,14.00,No discount,X,3500.0
"14K Solid GOLD Birthstone Bracelet, Personalized Birthstone Bracelet, Birthstone Bracelet for Mother, Gift for Mom, Best Gift For Her",140.00,(30% off),O,36400.0
"Minimalist Delicate Bracelet with Tiny Beads, Dainty Thin Chain Bracelet, Multicolor Boho Friendship Bracelet in Mint, Turquoise & Gold",29.56,No discount,X,14400.0
Hammered Handwriting Cuff Bracelet - Personalized Signature Bracelet - Personalized Gift,51.20,(20% off),X,52000.0
Roman Numeral Bracelet | Wedding Date Bracelet | Gold Bar Bracelet | Personalized Bar Bracelet,25.60,(20% off),O,11300.0
Bracelet Name Charm with Birthstone - Personalized Hand Stamped Name Charm for Bracelet Sterling Silver - Custom Bracelet Charm with Crystal,18.00,No discount,O,1100.0
"Gold Filled 4 mm Beaded Layering Bracelet, 14kt Gold Filled Beads, Isabella Celini, Layering Bracelets, Gold Filled Layering Bracelets",27.95,No discount,O,8400.0
"Super wide silver open cuff bracelet, adjustable modern bracelet, statement bracelet, chunky wide cuff bracelet, lightweight cuff, gift idea",51.17,No discount,O,12800.0
"Teahupo mens bracelet set, Bracelet style pack, Handmade bracelet, Bead bracelet, Surfer bracelet, Man bracelet, Boho, Pineapple Island",13.28,No discount,X,18000.0
Hammered Silver Circles Bracelet - Sterling Silver Handmade Chain Bracelet - Silver Jewelry - Everyday Silver Bracelet,67.00,No discount,O,9300.0
"COPPER BRACELET | Tree of Life, Unisex Bracelet, Magnetic Copper Bracelet, Celtic Bracelet, Men's Jewellery, Copper Engraving, Pagan Design.",38.66,No discount,X,7800.0
"Medical Emergency Contact Bracelet, Custom Medical Alert Bracelet, Custom Id Bracelet, Medical Emergency Bracelet, Unisex Medical ID",15.99,No discount,X,1900.0
Leather Name Bracelet - See Listing for Names,8.50,No discount,X,13100.0
Personalized Emerald Bracelet - Emerald Birthstone Bracelet - Initial Bracelet for Women - Personalized Emerald Jewelry,36.50,No discount,O,2000.0
"BELLA // Silver bridal bracelet, Crystal wedding bracelet, wedding bracelet, gemstone bracelet, bridesmaid bracelet, bridesmaid gift",53.11,No discount,O,2600.0
"Baking Charm Bracelet, Baking Bracelet Gift, Cooking Charm Bracelet, Chef Bracelet, Baking Jewelry, Cooking Bracelet, Baking Charms Gift",18.00,No discount,X,3300.0
Personalized Medical Bracelet | Medical Alert Bracelet | Medical ID Diabetic Bracelet | Custom Medical Allergy Bracelet||Mother Day Gift,62.39,(20% off),X,4100.0
"Mother's Day Gift for her • Custom Morse Code Bracelet •  Birthday's Gift for Sister, Mother, Best Friend, Daughter, Wife •  'Ann' Bracelet",35.25,(25% off),O,8100.0
"Custom Birthstone Bracelet, Thin Gold Chain Bracelet, Delicate Gemstone Bracelet, Boho Bracelet, Beaded Bracelet, LEILAjewelryshop",43.00,No discount,O,17800.0
Olive leaves and rosemary bracelet Greenery flower bracelet wedding Magaela Wrist corsage for bride Bridesmaid bracelets Natural bracelet,23.88,No discount,X,9000.0
"Morse Code Bracelet, Until We Meet Again, Miscarriage gift, Memorial Gift for men, Sympathy Gift for loss of father mother dad, Remembrance",40.50,(10% off),O,2600.0
Custom Name Bracelet with Curb Chain - Personalized Name Jewelry -  Birthday Gift for Her *NELLY BRACELET*,37.60,(20% off),X,52000.0
Actual Handwriting Curved Bar Bracelet - Slider Bar Bracelet - Signature Bracelet - Wedding Jewelry- Mother's Gift - Christmas gift,28.50,(25% off),O,7800.0
"Carnelian bracelet, gold filled or silver, minimalist jewelry, natural stone, carnelian jewelry, gold bracelet, sterling silver, crystal",29.45,No discount,X,17200.0
Coral Pink Beaded Bar Bracelet - Gold Filled or Sterling Silver - Nuelle,31.00,No discount,X,5200.0
